MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,LAT_scaled,LON_scaled
367586240,2023-01-01T00:00:42,48.9926,-122.76136,0.0,59.7,511.0,JILLIMARE,,WDG9281,30.0,,14.0,,,,B,0.9770214359700611,0.3734534038739312
338393234,2023-01-01T00:05:15,33.21192,-117.39502,0.0,360.0,511.0,WAY POINT,IMO0000000,,37.0,,13.0,4.0,,,B,0.5152767130342166,0.4301308420217038
367114880,2023-01-01T00:02:17,29.75885,-95.11684,0.0,209.2,268.0,SYDNEY ANN,,WDD2405,31.0,0.0,21.0,8.0,,56.0,A,0.41423944148266917,0.6654253200076214
368234390,2023-01-01T00:04:20,26.71697,-80.04945,0.0,36.0,511.0,MADNIC,IMO0000000,WDM7476,37.0,,20.0,6.0,,,B,0.3252336421252216,0.8245619130623608
316041917,2023-01-01T00:05:43,48.49364,-122.67925,0.0,360.0,511.0,NORTHERN RANGER,IMO0000000,,37.0,,12.0,10.0,,,B,0.9624218023068685,0.37432062146474965
367150450,2023-01-01T00:07:56,32.72304,-117.22601,0.0,360.0,511.0,OCEANSIDE 95,,WDJ6255,60.0,0.0,25.0,7.0,,60.0,A,0.50097202146523,0.43191586753655287
367158250,2023-01-01T00:00:26,29.57834,-94.26938,3.2,133.3,511.0,SMITH INVADER,IMO9427328,WDD5428,31.0,0.0,25.0,9.0,,90.0,A,0.4089576957063688,0.6743759011733156
338228516,2023-01-01T00:02:39,33.61409,-117.90439,0.0,351.3,511.0,REFUGE,,,37.0,,,,,,B,0.5270442588702078,0.4247510512016419
368211000,2023-01-01T00:04:46,41.52372,-70.86884,9.3,341.5,511.0,SANTA BARBARA,IMO7832220,WUU9211,30.0,,25.0,7.0,,,B,0.7584810482148394,0.9215243596150995
338162563,2023-01-01T00:08:51,30.02364,-90.03255,0.0,352.6,511.0,BLUE MOON,,,37.0,,14.0,,,,B,0.4219872308799691,0.7191238430233713
368210940,2023-01-01T00:01:24,40.69908,-74.04131,0.0,110.6,314.0,ANNIE MOORE,,WDM4917,60.0,15.0,23.0,7.0,0.0,60.0,A,0.7343519759364705,0.8880178221611431
367002660,2023-01-01T00:07:13,41.00383,-73.89475,0.3,149.2,48.0,SAPPHIRE COAST,IMO8109723,WDJ2691,31.0,0.0,38.0,12.0,5.6,52.0,A,0.7432690000643722,0.8895657384942374
368177590,2023-01-01T00:06:45,29.83294,-93.98914,0.0,311.0,180.0,ADDISON FAITH,,WDL9274,57.0,12.0,119.0,34.0,3.3,57.0,A,0.4164073243953394,0.6773356997076111
367130870,2023-01-01T00:00:26,38.9586,-74.87645,0.0,298.4,511.0,TRAVIS & NATALIE,IMO8855700,WSP7281,30.0,,23.0,6.0,,,B,0.6834253076702499,0.8791973605998683
367437640,2023-01-01T00:06:51,27.61739,-82.67236,0.1,192.7,511.0,BREAK OF DAWN,IMO8523151,WDF3243,31.0,0.0,27.0,8.0,2.6,31.0,A,0.3515800469332459,0.79685963939126
367770470,2023-01-01T00:04:43,40.24685,-80.65162,0.0,298.7,511.0,CELESTE M HARRISON,,WDJ3700,31.0,0.0,20.0,,,31.0,A,0.7211196680731036,0.8182020005466715
368145650,2023-01-01T00:03:14,38.58877,-90.19785,0.0,360.0,511.0,STACY DIANNE,,WDL5914,31.0,0.0,17.0,8.0,0.0,31.0,A,0.6726040343865027,0.717378001253035
368114890,2023-01-01T00:03:35,30.0122,-95.11307,0.0,360.0,511.0,OKINAWA,,WDL2735,31.0,0.0,14.0,10.0,0.0,31.0,A,0.42165249501114804,0.6654651374515064
367384020,2023-01-01T00:03:19,29.79014,-95.07994,0.0,247.0,511.0,BLESSED TRINITY,,WDE6725,31.0,0.0,22.0,9.0,,52.0,A,0.41515499090010005,0.6658150451215077
367402450,2023-01-01T00:03:37,38.42545,-82.59992,0.0,185.2,511.0,ENID DIBERT,,WDE8178,31.0,0.0,34.0,10.0,,31.0,A,0.6678252702172858,0.7976247257665968
337109808,2023-01-01T00:06:51,28.40737,-80.62945,0.4,360.0,511.0,TRANQUILO,IMO0000000,,37.0,,20.0,4.0,,,B,0.37469496316149836,0.8184361524646893
367191080,2023-01-01T00:06:41,39.75023,-74.11456,0.0,0.0,511.0,KAREN L,,WDD7770,30.0,,17.0,6.0,,,B,0.7065885031103518,0.887244180844282
368271280,2023-01-01T00:05:34,29.60724,-94.95033,0.0,183.0,146.0,DB AVALON,,WDN3395,33.0,3.0,76.0,23.0,0.0,33.0,A,0.40980331341693926,0.6671839413819634
338108994,2023-01-01T00:01:32,18.33523,-64.92003,0.0,142.7,511.0,CELEBRATION,IMO0000000,,37.0,,29.0,8.0,,,B,0.07998285356476137,0.9843536456513649
367106750,2023-01-01T00:07:01,41.39799,-88.28108,0.0,221.2,265.0,BOYD GOLDING,,WDC9793,31.0,0.0,22.0,10.0,,57.0,A,0.754802172271932,0.7376222670130327
367399880,2023-01-01T00:03:12,35.07668,-92.53944,0.0,302.7,189.0,SCOTT STEGBAUER,,WDE7965,31.0,0.0,34.0,10.0,,31.0,A,0.5698398300571743,0.6926469327049289
368188790,2023-01-01T00:01:28,29.68519,-90.09979,0.0,248.2,511.0,SOUTHERN NIGHTS,,WDM2507,30.0,0.0,29.0,9.0,3.3,30.0,A,0.4120841404252081,0.7184136772602896
367754480,2023-01-01T00:03:29,28.93794,-95.33536,2.7,102.2,7.0,POSEIDON,IMO9794226,WDJ2022,31.0,0.0,,,,52.0,A,0.39021950948320766,0.6631173868941678
369970968,2023-01-01T00:06:37,30.39027,-81.41058,0.0,336.8,511.0,USS SIOUX CITY,,NSCT,90.0,5.0,,,,0.0,A,0.4327148717528572,0.8101861259549322
311317000,2023-01-01T00:01:18,18.13483,-65.13448,8.3,180.5,176.0,VOYAGER OF THE SEAS,IMO9161716,C6SE5,60.0,0.0,311.0,47.0,8.8,60.0,A,0.07411912383471536,0.9820886984786569
368093080,2023-01-01T00:06:56,30.3985,-88.25897,0.0,360.0,511.0,MISS VICTORIA,IMO0000000,WDK8329,30.0,,29.0,7.0,,,B,0.43295568260953526,0.7378557852316784
366975990,2023-01-01T00:06:41,40.22417,-72.59885,3.8,58.8,511.0,MELISSA K,IMO7802562,WDB9453,30.0,,50.0,11.0,3.3,,B,0.7204560483611402,0.903252588767552
367787430,2023-01-01T00:06:34,41.7059,-87.54651,0.0,287.7,358.0,NATHAN S,IMO8841967,WDJ5413,31.0,0.0,27.0,8.0,3.1,52.0,A,0.763811658405557,0.7453805428099837
368212360,2023-01-01T00:05:01,25.89855,-80.15875,0.0,43.2,94.0,AGILITY,IMO0000000,WDM5078,37.0,,12.0,4.0,,,B,0.30128656784545965,0.8234075240393858
368139720,2023-01-01T00:04:51,30.062,-93.35293,0.0,195.5,269.0,SIGNET VOLUNTEER,IMO1001301448,WDL5289,57.0,12.0,117.0,34.0,3.7,57.0,A,0.42310964940514156,0.6840551310004466
215131000,2023-01-01T00:02:19,38.16197,-124.53907,13.0,272.9,281.0,CMA CGM LYRA,IMO9410806,9HA4972,71.0,0.0,363.0,46.0,12.1,71.0,A,0.6601158115881811,0.3546778420255061
367004120,2023-01-01T00:01:04,30.04778,-90.65297,0.2,235.6,511.0,ANGELA RAE,,WCP6283,31.0,15.0,16.0,7.0,,21.0,A,0.42269357037938676,0.7125711802819794
367343510,2023-01-01T00:01:16,41.3126,-89.21402,6.8,270.4,511.0,DALE ROBBINS,,WDE3738,31.0,0.0,18.0,8.0,,31.0,A,0.7523036499084159,0.7277688754751162
367340440,2023-01-01T00:05:31,30.25721,-88.47229,0.6,89.7,77.0,JEFF BRUMFIELD,,WDE3528,31.0,12.0,26.0,9.0,,31.0,A,0.42882151906882565,0.7356027727304797
249118000,2023-01-01T00:03:21,26.40557,-94.94183,0.0,23.2,340.0,SOLITAIRE,IMO7129049,9HA4114,90.0,3.0,299.0,40.0,9.3,90.0,A,0.3161220381435034,0.6672737154596877
367368460,2023-01-01T00:06:20,30.70475,-88.03948,0.1,163.3,356.0,GEORGIA,,WCZ9212,31.0,0.0,30.0,7.0,,52.0,A,0.44191659693002733,0.740173963151649
367340160,2023-01-01T00:05:59,29.31487,-94.79615,0.0,56.9,511.0,CAROLINA,IMO0552707,WDE3513,90.0,5.0,171.0,20.0,0.0,90.0,A,0.4012485296785481,0.6688123375353237
355256000,2023-01-01T00:00:05,24.17268,-81.94749,12.1,82.0,81.0,NORD CHESAPEAKE,IMO9767778,3FYO7,70.0,0.0,199.0,,,70.0,A,0.2507873900550675,0.8045154671230429
636015178,2023-01-01T00:02:47,31.667,-117.61015,0.6,104.3,199.0,AQUALEGACY,IMO9601833,A8ZC7,80.0,0.0,248.0,43.0,15.0,80.0,A,0.47007215547661824,0.4278587129227778
367056060,2023-01-01T00:00:04,30.12858,-91.32215,0.1,265.5,511.0,THERESA B,,WCY7174,31.0,0.0,17.0,7.0,,31.0,A,0.42505778875357697,0.705503531184135
316304000,2023-01-01T00:04:44,48.22369,-123.71808,10.8,91.0,92.0,ATLANTIC EAGLE,IMO9199103,VCYK,90.0,0.0,75.0,18.0,6.2,0.0,A,0.9545230306470585,0.3633488561515099
306124000,2023-01-01T00:02:55,23.30725,-82.37217,11.1,253.9,255.0,ORANGE STRAIT,IMO9795995,PJDE,70.0,0.0,115.0,18.0,5.6,70.0,A,0.22546479713952977,0.8000301429668031
367567350,2023-01-01T00:07:58,35.18394,-90.05818,0.0,298.5,355.0,PAULA FORTIER,,WDG7445,31.0,12.0,29.0,,,0.0,A,0.5729782714286551,0.7188531477748915
316047555,2023-01-01T00:01:15,49.16707,-123.93126,0.7,19.5,327.0,ISLAND KWIGWIS,IMO9900590,CFA3521,60.0,0.0,80.0,17.0,3.2,60.0,A,0.9821264505708651,0.3610973222821796
367350060,2023-01-01T00:04:42,38.95805,-74.87566,0.0,360.0,99.0,ANYA JO,IMO7047942,WDE4200,30.0,0.0,24.0,6.0,,99.0,A,0.6834092145996338,0.8792057043082687
367766740,2023-01-01T00:04:39,30.02431,-90.70145,5.7,230.5,511.0,SHAWN WILLIAMS,,WDJ3307,31.0,0.0,,,,31.0,A,0.42200683516599263,0.7120591511892638
367003390,2023-01-01T00:02:12,29.56193,-90.71277,0.0,295.1,266.0,HENRI,,WDF2420,31.0,12.0,21.0,8.0,,57.0,A,0.4084775369994323,0.711939593241047
368131890,2023-01-01T00:01:08,29.40004,-94.75138,0.8,89.4,54.0,AYDEN PHILIP,IMO1001281793,WDL4486,57.0,12.0,115.0,34.0,3.1,57.0,A,0.4037406148138178,0.6692851828835267
316031782,2023-01-01T00:02:37,48.65326,-123.39357,0.0,161.3,511.0,SERENITY II,,CFA2065,37.0,,,,,,B,0.96709230400103,0.3667762192059072
367768880,2023-01-01T00:05:42,29.73273,-95.20639,0.0,128.9,210.0,TEE GOLDING,,WDJ3535,31.0,15.0,,,,31.0,A,0.41347516692903247,0.6644795236946532
316043744,2023-01-01T00:07:09,49.2921,-123.1254,0.0,109.7,511.0,KOMOKWA,IMO9521069,6YTJ2,99.0,5.0,37.0,8.0,3.0,99.0,A,0.9857848444238972,0.369608538549834
367161570,2023-01-01T00:02:31,33.34424,-118.32245,0.0,360.0,511.0,ISLAND EXPLORER 3,,WDD5656,60.0,0.0,23.0,7.0,,60.0,A,0.5191484132232371,0.4203356452094651
367303000,2023-01-01T00:02:40,37.774,-122.24136,0.0,174.0,134.0,DELAWARE,IMO9810525,WDJ3161,52.0,5.0,29.0,10.0,4.9,52.0,A,0.648763759575377,0.3789454650994297
366983530,2023-01-01T00:02:37,45.58735,-122.77044,0.0,360.0,142.0,JOHN QUIGG,IMO8987929,WDB9828,31.0,5.0,24.0,9.0,4.0,0.0,A,0.8773833837582881,0.37335750403560897
366969740,2023-01-01T00:00:09,37.90615,-122.40027,0.0,360.0,511.0,SOLANA,IMO8992637,WCY5602,31.0,0.0,19.0,7.0,,52.0,A,0.6526304855425704,0.37726711231222954
338434478,2023-01-01T00:02:52,32.72587,-117.19071,0.0,360.0,511.0,DREAM ON,IMO0000000,,37.0,,0.0,0.0,,,B,0.5010548276285836,0.4322886940005146
367586250,2023-01-01T00:03:01,29.14948,-90.20343,0.0,0.1,511.0,FINN FALGOUT,IMO7390765,WDG9283,31.0,5.0,45.0,12.0,6.2,0.0,A,0.39640919704355665,0.7173190672114229
338708000,2023-01-01T00:06:38,29.39149,-89.59174,8.3,313.1,315.0,GENESIS PATRIOT,IMO9117258,WDG9346,31.0,0.0,37.0,11.0,5.1,57.0,A,0.40349044071605383,0.7237795266941637
367759080,2023-01-01T00:04:34,28.66662,-96.00935,1.1,60.0,58.0,AMERICAN POWER,,WDJ2513,31.0,12.0,,,,57.0,A,0.3822806514474986,0.6559989362299874
368457000,2023-01-01T00:08:25,33.77362,-118.24675,0.0,360.0,511.0,LADY HELVETIA,IMO0000000,WDM8556,36.0,,14.0,4.0,,,B,0.531712127152814,0.42113516258402317
367309870,2023-01-01T00:10:23,21.27855,-158.08932,0.1,49.3,126.0,NENE,,WDD9322,31.0,8.0,17.0,6.0,,23.0,A,0.16610477466775125,0.00033163600477070787
367083810,2023-01-01T00:00:04,29.5675,-90.38626,4.6,204.1,203.0,XENA,,WDF2366,31.0,12.0,19.0,7.0,,57.0,A,0.4086405159145838,0.7153880796078501
368257860,2023-01-01T00:04:09,25.31223,-80.28009,0.0,360.0,511.0,MAXIMUS,IMO0000000,WDM9996,37.0,,21.0,6.0,,,B,0.284130769365816,0.8221259726757281
367334810,2023-01-01T00:00:04,37.07907,-88.56578,3.8,121.4,115.0,GEORGE N,,WDE3155,31.0,0.0,18.0,6.0,,52.0,A,0.6284300185509215,0.7346153634920722
367759080,2023-01-01T00:00:04,28.66592,-96.01096,1.4,62.2,62.0,AMERICAN POWER,,WDJ2513,31.0,12.0,,,,57.0,A,0.38226016935762314,0.6559819319635007
367505870,2023-01-01T00:01:12,29.99823,-90.83479,0.0,283.0,349.0,ORANGE,,WDF9509,31.0,0.0,23.0,10.0,,57.0,A,0.42124373101749163,0.7106508599511715
368009570,2023-01-01T00:04:19,29.73203,-95.02275,0.0,164.3,217.0,HERMANATOR J,,WDJ7730,31.0,12.0,26.0,9.0,,31.0,A,0.4134546848391571,0.6664190662397504
368112890,2023-01-01T00:03:37,21.2925,-157.8595,0.0,219.8,511.0,KAHANA II,IMO8964903,WDL2528,70.0,0.0,67.0,14.0,3.1,70.0,A,0.16651295345883982,0.0027589158333169994
367704590,2023-01-01T00:02:17,29.4052,-94.74295,0.0,360.0,140.0,ADELINE,IMO8993825,WDI5043,31.0,0.0,21.0,9.0,,99.0,A,0.403891597076328,0.669374217645317
338413749,2023-01-01T00:01:42,26.71032,-80.04854,0.0,314.4,511.0,TAINA,IMO0000000,,36.0,,11.0,6.0,,,B,0.32503906227140517,0.8245715241695053
367430850,2023-01-01T00:07:18,29.48699,-94.85944,0.0,360.0,511.0,MISS NIZ,IMO8987539,WDF2697,31.0,12.0,22.0,8.0,2.4,31.0,A,0.40628478297762766,0.6681438903142431
367458640,2023-01-01T00:04:35,29.98066,-81.64718,0.0,278.0,511.0,RIO BRAVO,IMO8333207,WDF5037,31.0,0.0,30.0,9.0,4.5,32.0,A,0.4207296305616189,0.8076872380973303
368236280,2023-01-01T00:09:18,39.37467,-90.90679,0.0,360.0,511.0,WAYNE B SMITH,IMO1190882,WDM7678,52.0,0.0,17.0,7.0,0.0,52.0,A,0.69559956929091,0.7098904207045639
338182104,2023-01-01T00:01:53,34.21491,-77.81428,0.0,180.8,511.0,TRACKER PT 175 TF,,,37.0,,,,,,B,0.5446243292115567,0.8481690101573561
367531640,2023-01-01T00:07:02,40.62949,-74.07176,0.0,360.0,511.0,FDNY M9B,,WDG3976,51.0,0.0,,,,51.0,A,0.7323157636015707,0.8876962197297653
367767290,2023-01-01T00:02:07,48.75684,-122.50653,0.0,202.2,511.0,KESTREL,IMO0000000,WDJ3362,37.0,,12.0,4.0,,,B,0.9701230681000228,0.37614483072411153
368020030,2023-01-01T00:03:29,47.53868,-122.32847,0.0,137.8,511.0,REECE EAGLE,IMO906816000,WDJ8810,31.0,0.0,30.0,8.0,3.4,31.0,A,0.9344795500962657,0.37802543922759657
368105720,2023-01-01T00:03:19,48.99288,-122.75906,0.0,360.0,511.0,ZEN NO ZEN II,IMO0000000,WDK9675,36.0,,12.0,4.0,,,B,0.9770296288060112,0.37347769568319755
367402520,2023-01-01T00:00:02,37.04648,-88.53986,0.0,352.1,139.0,MARY ARTIE BRANNON,,WDE8184,31.0,15.0,34.0,10.0,,31.0,A,0.6274764309665792,0.734889121620851
367444730,2023-01-01T00:05:43,29.90065,-90.08079,0.0,360.0,511.0,REPENTANCE,IMO8975847,WDF3848,31.0,12.0,21.0,8.0,,57.0,A,0.4183885276888594,0.7186143487281443
367702540,2023-01-01T00:06:53,30.66404,-88.0239,0.0,272.4,190.0,SAFETY STAR,,WDI4837,31.0,12.0,21.0,8.0,,31.0,A,0.44072541710313023,0.7403385137552899
367333930,2023-01-01T00:05:37,40.01148,-79.92882,0.0,292.9,205.0,SOPHIA KATERIN MURRA,,WDH3370,31.0,0.0,16.0,6.0,,31.0,A,0.7142327116531386,0.8258359656501143
367344920,2023-01-01T00:06:40,30.44076,-91.22701,4.3,291.2,289.0,JACK BINION,,WDF2412,31.0,12.0,24.0,9.0,,57.0,A,0.43419221563544225,0.7065083671552771
368040990,2023-01-01T00:07:45,48.52079,-122.61711,0.1,180.5,511.0,ICEBERG PT.,,WDK3005,30.0,0.0,0.0,0.0,3.0,30.0,A,0.9632162147927505,0.37497692278119676
338389628,2023-01-01T00:07:50,25.85516,-80.17276,0.0,360.0,511.0,SIR FISH-ALOT,IMO0000000,,37.0,,14.0,5.0,,,B,0.30001697087446827,0.8232595552359834
563087800,2023-01-01T00:00:42,29.96833,-90.25959,0.0,230.5,254.0,STI MODEST,IMO9833577,9V3287,80.0,1.0,183.0,32.0,8.3,80.0,A,0.42036885317852773,0.716725924599069
366918910,2023-01-01T00:07:26,37.79379,-122.27717,0.2,279.4,297.0,CLIFFORD A BARNES,,WRN5495,90.0,0.0,,,,37.0,A,0.6493428175162834,0.37856725219080434
367659090,2023-01-01T00:05:29,29.41122,-94.82357,10.1,337.6,511.0,DOUGLAS B,,WDH8545,31.0,15.0,19.0,7.0,,31.0,A,0.40406774304925647,0.6685227369222404
351132000,2023-01-01T00:03:59,39.61303,-72.58343,9.2,313.0,314.0,MELOI,IMO9392119,3FOD,70.0,0.0,179.0,28.0,10.0,79.0,A,0.7025740134947713,0.9034154495062003
367056982,2023-01-01T00:05:19,21.31001,-157.86849,0.1,346.7,511.0,HOKU-LOA,IMO9032795,WCU5446,31.0,5.0,35.0,10.0,5.2,32.0,A,0.1670252983070089,0.002663966544052876
311062000,2023-01-01T00:00:01,27.72963,-91.10848,0.0,274.9,140.0,HELIX PRODUCER I,IMO8420115,C6RK2,90.0,3.0,161.0,29.0,8.6,7.0,A,0.354864203744126,0.7077602402650047
338358224,2023-01-01T00:02:15,27.50643,-82.51536,0.0,360.0,511.0,BEL SOGNO,IMO0000000,,30.0,,7.0,2.0,,,B,0.34833334308670943,0.7985178194151125
367020480,2023-01-01T00:03:27,42.45733,-70.94273,0.0,291.7,511.0,ISABELLA MARIE,IMO0000000,WDC4184,37.0,,11.0,4.0,,,B,0.7857985966842422,0.9207439588382687
367522170,2023-01-01T00:05:54,37.91837,-86.55661,4.9,97.2,96.0,CRYSTAL D TAYLOR,,WDG3070,31.0,12.0,48.0,12.0,,57.0,A,0.6529880443115386,0.7558355262852162
355793000,2023-01-01T00:05:28,46.18239,-123.42973,13.0,342.0,349.0,BENEVOLENCE,IMO8310877,3FVX8,70.0,0.0,149.0,0.0,,70.0,A,0.8947943305575223,0.366394309717611
367477290,2023-01-01T00:07:03,28.93342,-91.73383,3.0,313.2,511.0,MR JOHN,IMO8983624,WDF6732,30.0,,26.0,7.0,,,B,0.3900872537028693,0.7011555085585326
367584520,2023-01-01T00:06:39,29.78563,-95.09597,0.0,260.2,345.0,LONDON RENEE,,WDG9119,31.0,12.0,15.0,6.0,,57.0,A,0.41502302772104566,0.6656457417725756
538008944,2023-01-01T00:03:28,37.65131,-122.827,5.9,57.3,49.0,IONIC ARIADNE,IMO9856555,V7A2933,80.0,0.0,237.0,44.0,13.3,80.0,A,0.6451738344227855,0.372760136760774
538008010,2023-01-01T00:03:45,49.29205,-123.03232,0.0,353.0,253.0,ASSAY,IMO9370422,V7RP5,70.0,5.0,180.0,28.0,6.2,70.0,A,0.9857833814174777,0.37059161750919833
366384000,2023-01-01T00:05:56,38.95874,-74.87783,0.0,261.6,511.0,ALLIANCE,,WDF7948,30.0,0.0,34.0,10.0,4.0,30.0,A,0.6834294040882252,0.8791827855143084
368106370,2023-01-01T00:01:19,38.00995,-90.06498,6.3,103.6,105.0,SCF ENDEAVOR,,WDK9748,57.0,12.0,416.0,55.0,2.7,57.0,A,0.6556676868698101,0.7187813285127118
367012640,2023-01-01T00:03:26,39.58434,-75.59111,0.0,299.5,511.0,LINDSEY,IMO8973021,WDC3699,31.0,0.0,21.0,9.0,,52.0,A,0.7017345404111632,0.8716493673779169
229090000,2023-01-01T00:05:45,17.72926,-65.45089,7.6,56.7,56.0,MEIN SCHIFF 3,IMO9641730,9HA3062,60.0,0.0,293.0,35.0,8.1,69.0,A,0.06225209356218658,0.978746884839503
249047000,2023-01-01T00:07:46,25.44308,-79.98322,14.1,180.1,182.0,CELEBRITY SUMMIT,IMO9192387,9HJC9,60.0,0.0,294.0,32.0,8.0,60.0,A,0.287959457166098,0.8252614115526776
367719610,2023-01-01T00:06:50,29.742,-95.16405,0.0,259.9,89.0,ZYANA K,IMO9794185,WDI6527,31.0,0.0,24.0,,,52.0,A,0.41374640831923976,0.6649267042182834
368247000,2023-01-01T00:01:20,26.09125,-80.12157,0.0,282.2,268.0,INTEGRITY,IMO9369394,WDD7905,31.0,0.0,41.0,12.0,6.9,57.0,A,0.3069249945868762,0.8238002064170088
367653290,2023-01-01T00:05:53,30.49631,-91.19351,0.0,208.5,358.0,ELIZABETH M ROBINSON,,WDH7961,31.0,12.0,33.0,,,57.0,A,0.435817615767698,0.7068621826380737
338443137,2023-01-01T00:07:27,47.33034,-122.57895,0.0,360.0,511.0,LINE DRIVE,IMO0000000,,37.0,,15.0,5.0,,,B,0.9283834949467757,0.37537995558189863
538008764,2023-01-01T00:08:12,29.77511,-93.34112,0.0,124.2,181.0,FLEX AURORA,IMO9857365,V7A2734,80.0,5.0,297.0,46.0,9.4,80.0,A,0.41471521117034665,0.6841798641602026
367318540,2023-01-01T00:07:20,31.54731,-88.00349,8.1,121.7,122.0,COREY QUEBODEAUX,,WDD9957,31.0,0.0,26.0,9.0,,31.0,A,0.46657001070920695,0.7405540771583907
338325344,2023-01-01T00:02:30,29.32006,-94.77684,0.0,360.0,511.0,WAVE DANCER,IMO0000000,,30.0,,15.0,5.0,,,B,0.40140038974491027,0.6690162831166011
367512520,2023-01-01T00:00:03,29.95295,-90.39106,7.5,320.9,326.0,T LUKE SAVAGE,,WDG2137,31.0,12.0,28.0,,,57.0,A,0.4199188324038366,0.7153373836580762
368093120,2023-01-01T00:04:53,40.00208,-79.96121,0.0,49.7,338.0,CHIP LANDRY,,WDK8332,57.0,0.0,142.0,17.0,2.7,57.0,A,0.7139576664462404,0.8254938736057031
368188790,2023-01-01T00:04:37,29.6852,-90.09978,0.0,252.9,511.0,SOUTHERN NIGHTS,,WDM2507,30.0,0.0,29.0,9.0,3.3,30.0,A,0.41208443302649206,0.7184137828768516
367665960,2023-01-01T00:09:01,36.60786,-121.89228,0.1,259.1,511.0,REEL DREAMS,,WDH9231,37.0,,17.0,,,,B,0.6146423534506471,0.38263232804673164
