MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
368926035,2023-01-01T00:14:33,38.65191,-90.17877,0.1,360.0,511.0,KIMMSWICK,,AENA,33.0,15.0,,,,33.0,A
367109430,2023-01-01T00:00:02,32.082,-81.06295,0.0,143.0,271.0,WHIRLAWAY,,WDC9981,31.0,15.0,20.0,7.0,,52.0,A
258910000,2023-01-01T00:00:02,28.57338,-95.40052,15.6,55.0,55.0,BOW SIRIUS,IMO9215294,LACQ7,80.0,0.0,182.0,32.0,11.5,80.0,A
367186380,2023-01-01T00:11:32,41.58903,-71.40985,0.0,233.9,511.0,RELIANCE,IMO7367407,WDD7436,31.0,0.0,29.0,8.0,3.7,52.0,A
367561460,2023-01-01T00:13:20,30.07619,-94.08527,0.0,316.6,277.0,ATHENA,IMO9686792,WDG6862,31.0,0.0,28.0,12.0,5.2,52.0,A
316002873,2023-01-01T00:11:51,43.26679,-79.78776,0.0,0.0,19.0,OCEAN GOLF,IMO5146354,,31.0,0.0,31.0,8.0,3.1,52.0,A
367422720,2023-01-01T00:00:03,34.83015,-90.39268,8.9,253.3,257.0,ARNE CHRISTIANSEN,,WDE9907,31.0,0.0,34.0,10.0,,31.0,A
367720970,2023-01-01T00:14:49,35.10568,-90.08436,0.0,295.5,269.0,LAWRENCE CAMPBELL,,WDI6665,31.0,12.0,,,,31.0,A
338102672,2023-01-01T00:03:05,30.38923,-88.85832,0.0,182.5,511.0,MARYANNA MAE,IMO0000000,,36.0,,14.0,4.0,,,B
378112839,2023-01-01T00:04:42,26.70194,-80.04552,0.0,259.2,3.0,LACEY KAY,,ZJL9880,37.0,5.0,,,,37.0,A
367367330,2023-01-01T00:01:44,48.75475,-122.50446,0.0,121.6,511.0,LADY BRENDA,,WDE5479,30.0,,17.0,,,,B
367433780,2023-01-01T00:15:03,21.3064,-157.86493,0.0,0.0,511.0,STAR OF HONOLULU,,WDF2950,60.0,15.0,58.0,13.0,,0.0,A
367352240,2023-01-01T00:18:02,30.47256,-91.19962,0.1,338.1,301.0,PORT ALLEN,,WDE4376,31.0,0.0,15.0,6.0,,56.0,A
366999471,2023-01-01T00:17:20,42.61039,-70.65892,0.0,37.8,511.0,CG47303,,,90.0,15.0,14.0,,,51.0,A
338029895,2023-01-01T00:05:35,47.57054,-122.18883,0.0,360.0,511.0,LADY M,,,37.0,,23.0,,,,B
368253810,2023-01-01T00:13:30,45.86388,-122.79565,0.0,52.5,511.0,SANCTUARY,IMO0000000,WDM9560,37.0,,17.0,6.0,,,B
367007160,2023-01-01T00:16:10,36.98395,-76.15591,0.0,249.6,288.0,LIZ ALMA,IMO8856857,WDC3391,31.0,0.0,28.0,8.0,3.7,52.0,A
368180090,2023-01-01T00:00:23,47.68418,-122.40537,0.0,350.7,216.0,WHOLESOME 30,IMO0000000,WDL9544,37.0,,9.0,3.0,,,B
367390380,2023-01-01T00:05:53,47.63506,-122.32885,0.0,289.9,511.0,SEAFREEZE ALASKA,IMO6931043,WDE7203,30.0,0.0,89.0,13.0,5.8,30.0,A
367674860,2023-01-01T00:03:23,39.37328,-74.42025,0.0,99.7,511.0,MISS TAYLOR,,WDI2113,30.0,,22.0,7.0,,,B
338439182,2023-01-01T00:04:58,28.40795,-80.62771,0.0,360.0,511.0,REEL ACTION III,IMO0000000,,30.0,,9.0,0.0,,,B
367327440,2023-01-01T00:12:49,45.93443,-119.2211,5.8,293.3,511.0,KATHRYN B,,WDE2619,31.0,0.0,30.0,6.0,,31.0,A
367512520,2023-01-01T00:02:14,29.95656,-90.3939,7.0,331.0,343.0,T LUKE SAVAGE,,WDG2137,31.0,12.0,28.0,,,57.0,A
368013040,2023-01-01T00:18:24,48.74571,-122.75218,5.4,340.4,333.0,TODD E PROPHET,IMO9840740,WDJ8094,31.0,0.0,,,,31.0,A
367581980,2023-01-01T00:01:53,28.13905,-92.93197,10.4,258.5,511.0,MS EMELIE ROSE,IMO9260794,WDG8877,90.0,5.0,39.0,10.0,3.0,79.0,A
636016417,2023-01-01T00:04:05,49.29112,-123.07495,0.5,1.7,98.0,CAROLINA STAR,IMO9210062,D5GC3,70.0,0.0,243.0,32.0,11.5,70.0,A
366936050,2023-01-01T00:17:20,27.84458,-97.05724,5.0,34.5,511.0,WHARF CAT,,WZJ9938,30.0,0.0,23.0,9.0,0.0,30.0,A
366961810,2023-01-01T00:07:26,40.68014,-89.56501,0.0,27.5,511.0,PAR-A-DICE,,WCJ6204,60.0,15.0,57.0,20.0,,60.0,A
368155470,2023-01-01T00:06:05,27.63128,-97.24179,5.9,29.6,511.0,PORT FOURCHON,,WDL6932,57.0,12.0,114.0,34.0,2.5,57.0,A
367388680,2023-01-01T00:04:35,29.99605,-93.91429,0.0,2.6,4.0,MORGAN CITY,,WDE7077,31.0,12.0,23.0,10.0,,57.0,A
367720130,2023-01-01T00:13:37,29.31914,-94.7777,0.1,244.6,511.0,LONE STAR,,WDI6577,60.0,0.0,,,,37.0,A
367618130,2023-01-01T00:09:23,29.133,-90.21858,0.0,246.5,168.0,CAPE HORN,IMO9744611,WDH4474,90.0,0.0,65.0,14.0,4.0,90.0,A
316031481,2023-01-01T00:12:42,49.19891,-123.10349,5.3,101.3,511.0,HERB L LEDCOR,,,52.0,0.0,,,,52.0,A
367717920,2023-01-01T00:01:05,38.40351,-82.55578,0.0,360.0,511.0,BARBARA ANN,,WDI6362,31.0,15.0,10.0,,,52.0,A
370413000,2023-01-01T00:15:31,47.55985,-122.50382,0.2,52.1,242.0,GLOBAL ARC,IMO9644043,3FNJ6,70.0,1.0,176.0,28.0,9.8,70.0,A
367490030,2023-01-01T00:02:38,24.80619,-82.19787,3.5,121.6,511.0,CAPT ERIC III,IMO8940957,WDF7970,30.0,,24.0,7.0,,,B
367466190,2023-01-01T00:01:51,26.70356,-80.04548,0.0,0.0,511.0,LADY CATEE,,WDF5691,37.0,,26.0,6.0,,,B
367028770,2023-01-01T00:06:36,29.39372,-88.88824,2.8,293.9,511.0,CROSBY STAR,IMO8964628,WCY5782,31.0,0.0,30.0,9.0,3.9,31.0,A
367149890,2023-01-01T00:11:46,43.65746,-70.2476,0.0,302.1,311.0,IONA MCALISTER,IMO8023618,WDD4840,31.0,0.0,35.0,10.0,4.2,52.0,A
367739320,2023-01-01T00:08:59,28.75612,-95.68268,0.1,248.1,61.0,CAPT RICKY TORRES,,WDI8509,31.0,12.0,,,,90.0,A
368254960,2023-01-01T00:07:00,31.15103,-81.49964,0.0,360.0,511.0,SIAR,IMO0000000,WDM9682,36.0,,11.0,3.0,,,B
366997760,2023-01-01T00:17:23,30.04612,-90.58977,0.0,71.5,246.0,JOANNE MARIE,IMO8635758,WDC2790,31.0,0.0,19.0,7.0,,52.0,A
367656820,2023-01-01T00:13:38,29.44282,-94.69738,5.8,48.2,511.0,BRIANNA ELIZABETH,,WDH8320,31.0,12.0,21.0,,,57.0,A
367120750,2023-01-01T00:16:50,35.25626,-75.48901,3.1,317.1,511.0,CAPTCARL,IMO0000000,WDD2856,30.0,,29.0,9.0,,,B
368276970,2023-01-01T00:00:05,34.95545,-90.26014,9.4,117.4,113.0,LARRY WALKER,,WDN3992,31.0,12.0,37.0,10.0,2.8,31.0,A
367507220,2023-01-01T00:15:45,29.56438,-90.73852,4.9,252.2,252.0,TEDDY MEYER,,WDF9635,31.0,12.0,27.0,,,57.0,A
367505680,2023-01-01T00:10:25,39.93948,-90.53518,0.0,280.6,12.0,WISCONSIN,,WDF9489,31.0,12.0,44.0,14.0,,57.0,A
366938760,2023-01-01T00:05:42,43.4234,-87.08472,13.7,203.9,204.0,SAM LAUD,IMO7390210,WZC7602,70.0,5.0,193.0,20.0,8.3,70.0,A
366878830,2023-01-01T00:15:16,29.54762,-90.68773,0.0,35.0,511.0,OCEAN QUEST,IMO8968741,WDB2700,90.0,0.0,45.0,10.0,2.4,34.0,A
367511230,2023-01-01T00:05:56,39.37786,-74.42696,0.0,360.0,511.0,SAGINAW RIVER,,WDG2013,90.0,0.0,16.0,,,33.0,A
477735500,2023-01-01T00:14:48,33.45187,-117.97587,0.2,47.7,154.0,NEW COROLLA,IMO9900679,VRUI6,80.0,0.0,333.0,60.0,19.9,80.0,A
366785960,2023-01-01T00:10:37,29.18274,-90.44385,0.0,248.6,511.0,CAPT JERRY VIZIER,,WCZ9414,31.0,0.0,16.0,7.0,,52.0,A
369970039,2023-01-01T00:08:17,38.9842,-76.46723,0.0,205.3,343.0,YP-703,,,90.0,0.0,36.0,,,99.0,A
366844270,2023-01-01T00:04:45,33.73102,-118.26135,0.0,359.1,69.0,MILLENNIUM DAWN,IMO9258791,WDA7527,31.0,0.0,32.0,10.0,3.8,52.0,A
367059310,2023-01-01T00:15:49,28.90349,-95.37079,0.1,155.0,318.0,EMS EXPRESS,,WDC6662,31.0,8.0,22.0,10.0,,57.0,A
366963830,2023-01-01T00:00:01,30.11529,-90.97783,0.0,30.5,511.0,SHELLEY,,WDB8765,31.0,0.0,18.0,8.0,,52.0,A
368132030,2023-01-01T00:05:01,26.90877,-80.08347,0.1,339.0,511.0,THE BEELIEVER,,WDL4499,37.0,5.0,32.0,8.0,2.0,37.0,A
374349000,2023-01-01T00:11:06,23.65258,-83.09553,10.0,278.8,280.0,VL PROSPERITY,IMO9683697,3FJV6,80.0,0.0,333.0,60.0,11.0,80.0,A
367732690,2023-01-01T00:02:27,39.5729,-75.58995,0.0,360.0,511.0,KATIE LYNN,,WDI7836,60.0,15.0,13.0,5.0,0.0,60.0,A
367513220,2023-01-01T00:00:46,45.64354,-122.75233,0.0,293.1,511.0,VANCOUVER,IMO9060106,WDG2203,31.0,5.0,22.0,8.0,3.2,52.0,A
368200240,2023-01-01T00:05:47,33.72368,-118.28078,0.7,360.0,511.0,PACIFIC MOON,IMO0000000,WDM3761,34.0,,16.0,6.0,,,B
338300061,2023-01-01T00:08:24,32.71456,-117.23328,0.0,287.5,511.0,ELOQUENCE,,,36.0,,,,,,B
209026000,2023-01-01T00:12:47,37.00723,-76.25053,9.9,90.0,90.0,KATERINA,IMO9256884,P3UG9,70.0,0.0,225.0,32.0,14.0,79.0,A
368132980,2023-01-01T00:17:10,35.17125,-93.10677,6.9,256.6,257.0,KATHRYN LOUISE,,WDL4599,57.0,12.0,110.0,18.0,2.8,57.0,A
367796560,2023-01-01T00:06:56,34.27013,-78.00043,0.0,360.0,511.0,LADY LISA,IMO0000000,WDJ6316,37.0,,20.0,6.0,,,B
366990010,2023-01-01T00:06:30,37.02871,-89.26395,7.3,308.1,302.0,SHERYL,,WDC2249,31.0,0.0,24.0,11.0,,31.0,A
366966550,2023-01-01T00:11:33,34.24268,-119.26408,0.0,44.5,511.0,OCEAN ANGEL 2,,WDB8924,30.0,15.0,0.0,0.0,0.0,30.0,A
366992010,2023-01-01T00:00:47,29.26349,-89.35896,0.0,245.4,511.0,PAPA D,,WDC2371,31.0,5.0,17.0,6.0,,52.0,A
366997820,2023-01-01T00:11:09,29.93374,-90.33555,4.4,90.3,511.0,KRISTIN ALEXIS,IMO8635784,WDC2794,31.0,0.0,18.0,7.0,,31.0,A
377912000,2023-01-01T00:15:06,26.76791,-80.05199,0.0,288.5,88.0,TROPIC LURE,IMO8204171,J8PD,70.0,5.0,90.0,17.0,4.8,71.0,A
366999653,2023-01-01T00:19:05,40.4668,-74.00992,0.0,287.3,511.0,CG BELUGA,,NZSR,90.0,5.0,26.0,5.0,,55.0,A
368083560,2023-01-01T00:09:17,27.88257,-97.04497,0.0,262.6,162.0,TOM GREEN,,WDK7348,52.0,0.0,23.0,10.0,2.6,52.0,A
367401960,2023-01-01T00:16:25,36.79749,-76.29161,0.0,219.7,511.0,CAJUN,IMO8334055,WDE8132,31.0,0.0,21.0,7.0,,52.0,A
367162740,2023-01-01T00:11:14,29.87843,-89.8994,0.1,208.4,511.0,CAPT ROD II,,WDD5731,60.0,0.0,14.0,4.0,,31.0,A
367724780,2023-01-01T00:05:49,29.4063,-94.74458,0.1,285.4,47.0,BRENDA L MURRAY II,,WDI7040,31.0,12.0,,,,57.0,A
368247040,2023-01-01T00:08:44,31.15809,-81.49944,0.0,360.0,511.0,DAWN WATCH,IMO0000000,WDM8850,37.0,,12.0,4.0,,,B
366967810,2023-01-01T00:10:27,29.62509,-91.06897,7.9,289.2,511.0,EMILE T,IMO8956750,WCY5115,31.0,0.0,21.0,7.0,,31.0,A
367365210,2023-01-01T00:03:20,29.78327,-95.07401,0.0,233.8,511.0,ALFRED P CENAC III,,WDE5335,31.0,0.0,19.0,8.0,,52.0,A
366896060,2023-01-01T00:03:35,29.7205,-93.86518,0.0,14.0,239.0,SABINE BANK PILOT,,WDB4218,90.0,0.0,21.0,5.0,,50.0,A
367421660,2023-01-01T00:15:46,46.20157,-123.38731,0.0,360.0,511.0,CAPT BOB CAMPBELL,,WDE9819,31.0,0.0,21.0,7.0,,52.0,A
367581120,2023-01-01T00:06:25,29.84645,-93.97066,0.0,236.1,348.0,STARDUST,,WDG8792,31.0,0.0,22.0,,,52.0,A
367610530,2023-01-01T00:14:15,25.77779,-80.18603,0.0,360.0,511.0,MICHAEL B MELI,,WDH3752,60.0,0.0,21.0,5.0,,60.0,A
211123220,2023-01-01T00:09:11,25.7979,-80.14966,0.0,209.6,511.0,DANJA,IMO0000000,DB2323,36.0,,12.0,4.0,,,B
366845050,2023-01-01T00:05:26,29.29793,-94.69503,16.7,30.8,511.0,ERIN T,,WDII,60.0,0.0,29.0,7.0,,40.0,A
368278690,2023-01-01T00:13:32,35.76971,-74.65917,1.4,25.6,511.0,FINE TUNA,IMO0000000,ZFU6688,30.0,,0.0,0.0,,,B
367714520,2023-01-01T00:09:26,37.04118,-88.53442,0.0,360.0,511.0,NICKSON,,WDI6033,31.0,3.0,14.0,,,52.0,A
368059440,2023-01-01T00:16:29,36.26464,-89.55765,4.4,213.0,212.0,JERRY JARRETT,IMO1001266646,WDK4872,57.0,12.0,416.0,55.0,3.6,57.0,A
368139720,2023-01-01T00:15:32,30.062,-93.35293,0.0,195.5,269.0,SIGNET VOLUNTEER,IMO1001301448,WDL5289,57.0,12.0,117.0,34.0,3.7,57.0,A
367417570,2023-01-01T00:11:01,30.27845,-89.11239,6.6,91.8,90.0,NICEVILLE,,WDE9467,31.0,5.0,23.0,10.0,,57.0,A
477369200,2023-01-01T00:11:39,28.74691,-93.71373,15.8,305.3,306.0,PACIFIC SATURN,IMO9714654,VRSV6,80.0,0.0,159.0,25.0,8.5,80.0,A
368182060,2023-01-01T00:06:55,18.07935,-65.79669,0.0,291.0,29.0,PYSEAS,IMO0000000,WDL9765,36.0,,15.0,8.0,,,B
366921840,2023-01-01T00:03:44,27.81686,-97.4649,7.7,282.4,511.0,PHILIP K,IMO7502344,WYG6823,31.0,0.0,29.0,9.0,5.0,52.0,A
366939130,2023-01-01T00:02:33,29.70481,-93.84647,0.0,10.8,511.0,GERARD D,,WTG3761,31.0,5.0,18.0,7.0,,52.0,A
267188530,2023-01-01T00:16:16,35.08963,-90.10573,0.2,189.0,511.0,FLETCHER ARMSTRONG,,WTL7572,31.0,0.0,0.0,0.0,2.4,31.0,A
366999630,2023-01-01T00:15:39,30.36376,-89.08957,0.0,359.0,269.0,CG TIGER SHARK,,NDOS,90.0,5.0,26.0,5.0,,55.0,A
367637070,2023-01-01T00:14:15,29.85128,-90.02221,0.0,138.9,129.0,GOSPEL LIGHT,,WDH6352,31.0,12.0,21.0,7.0,,31.0,A
367571660,2023-01-01T00:17:46,36.23804,-89.58991,0.0,353.9,104.0,JACK HASKELL,,WDG7869,31.0,0.0,21.0,,,57.0,A
338469684,2023-01-01T00:15:01,29.39411,-90.72899,0.0,360.0,511.0,JOHN OUZTS,,,0.0,3.0,0.0,0.0,0.0,0.0,A
303304000,2023-01-01T00:09:49,47.655,-122.36438,0.0,250.6,132.0,OCEAN MARINER,IMO8516433,WCF3990,31.0,11.0,25.0,8.0,,31.0,A
271043028,2023-01-01T00:13:48,31.99044,-79.30112,15.5,87.0,83.0,KAAN KALKAVAN,IMO9365879,TCTX2,70.0,0.0,182.0,28.0,11.0,71.0,A
338113827,2023-01-01T00:11:30,26.91052,-82.0823,0.0,340.4,511.0,BONEY,,,37.0,,14.0,,,,B
368235420,2023-01-01T00:11:34,32.71761,-117.22942,0.0,360.0,511.0,KNOT AGAIN,IMO0000000,WDM7584,37.0,,35.0,14.0,,,B
338440557,2023-01-01T00:05:03,41.26773,-72.53634,0.0,360.0,511.0,ROCK & ROLL,IMO0000000,,37.0,,13.0,5.0,,,B
316004787,2023-01-01T00:07:20,49.08566,-123.11024,0.0,360.0,511.0,PACIFIC DISCOVERY,,,30.0,0.0,19.0,7.0,0.0,30.0,A
367768070,2023-01-01T00:16:09,30.11631,-91.0136,3.5,7.0,511.0,ROGER D,,WDJ3448,31.0,0.0,21.0,9.0,,52.0,A
369638000,2023-01-01T00:14:48,29.14588,-90.21152,0.0,179.2,331.0,IPANEMA,IMO9499929,WDE7991,60.0,0.0,53.0,9.0,2.4,70.0,A
368926035,2023-01-01T00:06:43,38.65181,-90.17965,0.1,360.0,511.0,KIMMSWICK,,AENA,33.0,15.0,,,,33.0,A
338100538,2023-01-01T00:17:15,24.56215,-81.80285,0.0,282.4,511.0,BAD INTENTIONS,,,37.0,0.0,19.0,5.0,,37.0,A
316040059,2023-01-01T00:10:34,49.29206,-123.12692,0.1,360.0,511.0,SV FLANC MOU,IMO0000000,,36.0,,12.0,2.0,,,B
367778930,2023-01-01T00:13:27,33.458,-117.69434,0.0,309.5,511.0,MISSBEEHAVN,,WDJ4565,37.0,,13.0,4.0,,,B
367143910,2023-01-01T00:03:41,40.63063,-89.6262,0.3,36.9,39.0,TOM FRAZIER,,WDD4376,31.0,12.0,41.0,14.0,,52.0,A
367371410,2023-01-01T00:12:01,44.63465,-83.72158,0.0,14.0,511.0,JONATHAN ERICKSON,IMO8836601,WDE5769,31.0,5.0,46.0,12.0,,52.0,A
366772750,2023-01-01T00:05:51,48.50733,-122.6769,0.0,252.1,216.0,WSF YAKIMA,IMO8835360,WCD7863,60.0,0.0,116.0,22.0,5.5,60.0,A
368167820,2023-01-01T00:00:18,26.05929,-97.21422,0.0,227.6,153.0,BAFFIN BAY,IMO101229469,WDL8253,57.0,5.0,117.0,34.0,2.7,57.0,A
368161120,2023-01-01T00:06:03,30.01442,-90.82989,0.0,360.0,511.0,BIENVILLE,,WDL7538,50.0,0.0,13.0,4.0,0.0,50.0,A
366998110,2023-01-01T00:08:04,34.804,-87.62983,0.1,79.0,71.0,STEVE RICHOUX,IMO8992613,WDC2820,31.0,12.0,25.0,9.0,,57.0,A
538005424,2023-01-01T00:13:46,29.36824,-94.89146,0.0,278.3,69.0,RIDGEBURY JOHN B,IMO9349631,V7DR7,80.0,5.0,179.0,32.0,12.0,89.0,A
367737960,2023-01-01T00:06:50,29.96105,-90.28581,0.2,226.0,511.0,LOUISIANA MARINER,,WDI8374,31.0,0.0,,,,31.0,A
367324580,2023-01-01T00:07:05,41.59275,-70.2794,5.9,339.5,344.0,NANTUCKET,IMO7334199,WBQ6814,60.0,0.0,70.0,18.0,2.9,60.0,A
538009575,2023-01-01T00:15:29,27.59557,-79.28701,15.4,204.1,203.0,MURCIA CARRIER,IMO9063665,V7A4911,70.0,0.0,138.0,22.0,7.9,70.0,A
367379660,2023-01-01T00:04:37,41.29389,-72.90451,0.0,264.2,511.0,GREGG MCALLISTER,IMO9549542,WDE6393,31.0,0.0,23.0,10.0,,52.0,A
368040220,2023-01-01T00:11:10,28.61518,-80.7964,0.0,360.0,511.0,HEIRBORNE,IMO0000000,WDK2924,36.0,,14.0,5.0,,,B
367113430,2023-01-01T00:16:06,38.84008,-90.10565,0.0,3.1,359.0,MR LAMPTON,,WDD2295,31.0,12.0,32.0,9.0,,57.0,A
367362460,2023-01-01T00:18:04,30.0492,-90.53733,0.0,274.2,5.0,B L DARNELL,,WDE5130,31.0,0.0,19.0,7.0,,52.0,A
367539920,2023-01-01T00:01:19,29.96667,-93.8585,0.0,178.6,191.0,KATIE T MORAN,IMO9650391,WDG4769,31.0,0.0,24.0,10.0,,52.0,A
338790000,2023-01-01T00:00:27,47.60056,-122.33748,0.0,335.4,88.0,SALLY FOX,IMO9776729,WDH7915,60.0,5.0,31.0,9.0,,60.0,A
338940000,2023-01-01T00:03:28,44.76639,-85.60717,0.0,29.2,359.0,STATE OF MICHIGAN,IMO8835451,WMAP,90.0,5.0,68.0,13.0,5.7,60.0,A
367649740,2023-01-01T00:08:11,42.28095,-83.12722,0.0,39.8,511.0,NORTH DAKOTA,,WDH7600,31.0,0.0,26.0,6.0,3.0,31.0,A
122292919,2023-01-01T00:02:25,32.70989,-117.23449,0.0,224.3,511.0,SD PILOT BOAT,,WCQ2250,50.0,15.0,0.0,0.0,0.0,50.0,A
563101100,2023-01-01T00:06:09,29.26551,-94.46937,0.1,181.5,86.0,CRYSTAL ANGEL,IMO9833199,9V6038,80.0,1.0,229.0,37.0,8.1,80.0,A
311076800,2023-01-01T00:17:49,27.77307,-96.24657,0.2,41.2,222.0,EUROVISION,IMO9567697,C6AD8,80.0,0.0,274.0,48.0,17.1,80.0,A
367452650,2023-01-01T00:01:12,29.17877,-89.25855,0.1,291.9,243.0,PORTPILOT,,WDF4502,90.0,0.0,15.0,4.0,,50.0,A
366962010,2023-01-01T00:09:06,27.84413,-97.07567,0.4,334.2,511.0,MISS MONIE,,WCZ9166,31.0,0.0,16.0,6.0,,31.0,A
367135430,2023-01-01T00:11:53,30.21688,-93.25907,0.0,329.8,38.0,ENERGY HERCULES,IMO9397365,WDD3733,31.0,0.0,29.0,10.0,3.7,52.0,A
367643790,2023-01-01T00:01:11,26.0819,-80.11625,0.0,255.2,511.0,TATE MCALLISTER,IMO9743461,WDH7005,31.0,0.0,28.0,11.0,,52.0,A
636016417,2023-01-01T00:13:00,49.29407,-123.07999,8.2,301.1,300.0,CAROLINA STAR,IMO9210062,D5GC3,70.0,0.0,243.0,32.0,11.5,70.0,A
366847780,2023-01-01T00:15:35,30.4031,-87.21241,0.1,58.4,21.0,PACIFIC DAWN,IMO7400467,WDA7844,31.0,0.0,32.0,8.0,3.6,31.0,A
338138014,2023-01-01T00:06:53,18.45953,-66.08823,0.0,171.4,511.0,ANAMARINA,,,37.0,,19.0,,,,B
367546880,2023-01-01T00:00:03,30.00033,-89.98859,0.0,248.4,511.0,LUCILLE BROOKS,,WDG5458,31.0,0.0,18.0,8.0,,57.0,A
367031680,2023-01-01T00:18:52,31.01029,-87.99925,4.4,272.7,511.0,TOUCHSTONE ENERGY,,WDC4848,31.0,15.0,20.0,8.0,0.0,31.0,A
367482470,2023-01-01T00:16:41,25.77452,-80.17867,0.0,80.1,295.0,JJ CENAC,,WDF7239,31.0,5.0,28.0,9.0,,31.0,A
367535270,2023-01-01T00:02:25,28.3491,-96.70638,4.4,327.4,329.0,LADY JUNE,,WDG4316,31.0,12.0,23.0,10.0,,31.0,A
338398254,2023-01-01T00:14:34,26.82825,-80.05885,0.0,360.0,511.0,MORNING DEW,IMO0000000,,37.0,,17.0,5.0,,,B
367017460,2023-01-01T00:04:42,29.98641,-81.65763,0.0,225.1,511.0,ELSBETH III,IMO8983375,WCY8320,31.0,0.0,27.0,10.0,,52.0,A
367584490,2023-01-01T00:02:26,30.0587,-93.69366,6.1,266.2,263.0,SAVAGE PERSEVERANCE,,WDG9117,31.0,12.0,25.0,,,57.0,A
338344461,2023-01-01T00:07:21,25.77739,-80.20455,5.2,284.0,511.0,4 JS AND ME,IMO0000000,,37.0,,18.0,5.0,,,B
367326360,2023-01-01T00:12:07,47.66576,-122.3918,0.0,314.3,178.0,PACIFIC CHALLENGER,IMO7043221,WDE2519,30.0,0.0,24.0,7.0,,30.0,A
338429153,2023-01-01T00:14:39,33.76504,-118.11372,0.0,296.1,511.0,SCHATZI,IMO0000000,,37.0,,9.0,3.0,,,B
538006806,2023-01-01T00:04:07,29.5627,-93.68527,0.0,4.7,88.0,LOUIS P,IMO9749336,V7MW7,80.0,1.0,169.0,,,89.0,A
368144370,2023-01-01T00:04:17,29.9221,-89.96219,10.3,92.3,81.0,A. THOMAS HIGGINS,IMO9907495,WDL5779,52.0,0.0,24.0,12.0,0.0,52.0,A
368149150,2023-01-01T00:16:08,26.10329,-79.77483,5.5,98.3,511.0,BECKON,IMO0000000,WDN3887,36.0,,12.0,2.0,,,B
366862710,2023-01-01T00:04:33,34.01536,-91.42782,5.9,127.6,124.0,WALTER E BLESSEY JR,IMO8976619,WDA9212,31.0,12.0,32.0,9.0,,57.0,A
538003946,2023-01-01T00:00:20,40.1398,-74.75505,0.0,340.3,343.0,IBIS BULKER,IMO9441324,V7UG6,70.0,5.0,189.0,32.0,12.9,70.0,A
305961000,2023-01-01T00:06:56,22.48165,-97.88837,0.0,172.0,172.0,ONEGO ROTTERDAM,IMO9631345,V2QO7,70.0,5.0,118.0,16.0,7.2,79.0,A
366821510,2023-01-01T00:09:23,35.11851,-92.8048,4.1,87.1,82.0,ROBERT INGLE,,WDA5570,31.0,15.0,34.0,11.0,,31.0,A
